Hämtat 2026-08-04 – fönster: senaste dygnet (24 timmar)
Station: Ö24 Simrishamn 
Artrikedom: 26

Arter i datan (namn + aktivitet):
  - tornseglare  [Apus apus]  (ofta hord)
  - ladusvala  [Hirundo rustica]  (hordes en del)
  - hussvala  [Delichon urbicum]  (hordes en del)
  - grågås  [Anser anser]  (hordes en del)
  - gråsparv  [Passer domesticus]  (enstaka)
  - ringduva  [Columba palumbus]  (enstaka)
  - kaja  [Corvus monedula]  (enstaka)
  - sädesärla  [Motacilla alba]  (enstaka)
  - gråtrut  [Larus argentatus]  (enstaka)
  - medelhavstrut  [Larus michahellis]  (enstaka)
  - gråhäger  [Ardea cinerea]  (enstaka)
  - hämpling  [Linaria cannabina]  (enstaka)
  - strandskata  [Haematopus ostralegus]  (enstaka)
  - blåmes  [Cyanistes caeruleus]  (enstaka)
  - drillsnäppa  [Actitis hypoleucos]  (enstaka)
  - fisktärna  [Sterna hirundo]  (enstaka)
  - kråka  [Corvus cornix]  (enstaka)
  - pilfink  [Passer montanus]  (enstaka)
  - grönbena  [Tringa glareola]  (enstaka)
  - steglits  [Carduelis carduelis]  (enstaka)
  - backsvala  [Riparia riparia]  (enstaka)
  - tornfalk  [Falco tinnunculus]  (enstaka)
  - stare  [Sturnus vulgaris]  (enstaka)
  - fiskmås  [Larus canus]  (enstaka)
  - Chloris chloris  [Chloris chloris]  (enstaka)
  - kentsk tärna  [Thalasseus sandvicensis]  (enstaka)
