Hämtat 2026-08-09 – fönster: senaste dygnet (24 timmar)
Station: Ö24 Simrishamn 
Artrikedom: 29

Arter i datan (namn + aktivitet):
  - gråsparv  [Passer domesticus]  (ofta hord)
  - ringduva  [Columba palumbus]  (hordes en del)
  - ladusvala  [Hirundo rustica]  (hordes en del)
  - tornseglare  [Apus apus]  (hordes en del)
  - hussvala  [Delichon urbicum]  (enstaka)
  - grågås  [Anser anser]  (enstaka)
  - blåmes  [Cyanistes caeruleus]  (enstaka)
  - kanadagås  [Branta canadensis]  (enstaka)
  - gråtrut  [Larus argentatus]  (enstaka)
  - kaja  [Corvus monedula]  (enstaka)
  - pilfink  [Passer montanus]  (enstaka)
  - stare  [Sturnus vulgaris]  (enstaka)
  - gråhäger  [Ardea cinerea]  (enstaka)
  - medelhavstrut  [Larus michahellis]  (enstaka)
  - sädesärla  [Motacilla alba]  (enstaka)
  - kentsk tärna  [Thalasseus sandvicensis]  (enstaka)
  - strandskata  [Haematopus ostralegus]  (enstaka)
  - fisktärna  [Sterna hirundo]  (enstaka)
  - kärrsnäppa  [Calidris alpina]  (enstaka)
  - steglits  [Carduelis carduelis]  (enstaka)
  - gräsand  [Anas platyrhynchos]  (enstaka)
  - backsvala  [Riparia riparia]  (enstaka)
  - drillsnäppa  [Actitis hypoleucos]  (enstaka)
  - hämpling  [Linaria cannabina]  (enstaka)
  - ormvråk  [Buteo buteo]  (enstaka)
  - gransångare  [Phylloscopus collybita]  (enstaka)
  - sothöna  [Fulica atra]  (enstaka)
  - gluttsnäppa  [Tringa nebularia]  (enstaka)
  - rödbena  [Tringa totanus]  (enstaka)
