Hämtat 2026-08-24 – fönster: senaste dygnet (24 timmar)
Station: Ö24 Simrishamn 
Artrikedom: 41

Arter i datan (namn + aktivitet):
  - ringduva  [Columba palumbus]  (ofta hord)
  - ladusvala  [Hirundo rustica]  (hordes en del)
  - råka  [Corvus frugilegus]  (hordes en del)
  - hussvala  [Delichon urbicum]  (enstaka)
  - kaja  [Corvus monedula]  (enstaka)
  - gråsparv  [Passer domesticus]  (enstaka)
  - gransångare  [Phylloscopus collybita]  (enstaka)
  - sädesärla  [Motacilla alba]  (enstaka)
  - gråtrut  [Larus argentatus]  (enstaka)
  - blåmes  [Cyanistes caeruleus]  (enstaka)
  - turkduva  [Streptopelia decaocto]  (enstaka)
  - gråhäger  [Ardea cinerea]  (enstaka)
  - grågås  [Anser anser]  (enstaka)
  - fisktärna  [Sterna hirundo]  (enstaka)
  - kanadagås  [Branta canadensis]  (enstaka)
  - större strandpipare  [Charadrius hiaticula]  (enstaka)
  - hämpling  [Linaria cannabina]  (enstaka)
  - skräntärna  [Hydroprogne caspia]  (enstaka)
  - steglits  [Carduelis carduelis]  (enstaka)
  - gräsand  [Anas platyrhynchos]  (enstaka)
  - kråka  [Corvus cornix]  (enstaka)
  - knölsvan  [Cygnus olor]  (enstaka)
  - strandskata  [Haematopus ostralegus]  (enstaka)
  - skogssnäppa  [Tringa ochropus]  (enstaka)
  - kustpipare  [Pluvialis squatarola]  (enstaka)
  - havstrut  [Larus marinus]  (enstaka)
  - sjöorre  [Melanitta nigra]  (enstaka)
  - talgoxe  [Parus major]  (enstaka)
  - grå flugsnappare  [Muscicapa striata]  (enstaka)
  - koltrast  [Turdus merula]  (enstaka)
  - kungsfågel  [Regulus regulus]  (enstaka)
  - forsärla  [Motacilla cinerea]  (enstaka)
  - lövsångare  [Phylloscopus trochilus]  (enstaka)
  - sångsvan  [Cygnus cygnus]  (enstaka)
  - gulsparv  [Emberiza citrinella]  (enstaka)
  - gulärla  [Motacilla flava]  (enstaka)
  - skrattmås  [Chroicocephalus ridibundus]  (enstaka)
  - gluttsnäppa  [Tringa nebularia]  (enstaka)
  - medelhavstrut  [Larus michahellis]  (enstaka)
  - fiskgjuse  [Pandion haliaetus]  (enstaka)
  - kentsk tärna  [Thalasseus sandvicensis]  (enstaka)
