Hämtat 2026-09-04 – fönster: senaste dygnet (24 timmar)
Station: Ö24 Simrishamn 
Artrikedom: 33

Arter i datan (namn + aktivitet):
  - kaja  [Corvus monedula]  (ofta hord)
  - ladusvala  [Hirundo rustica]  (hordes en del)
  - ringduva  [Columba palumbus]  (hordes en del)
  - grågås  [Anser anser]  (hordes en del)
  - rödhake  [Erithacus rubecula]  (hordes en del)
  - råka  [Corvus frugilegus]  (enstaka)
  - sädesärla  [Motacilla alba]  (enstaka)
  - blåmes  [Cyanistes caeruleus]  (enstaka)
  - hussvala  [Delichon urbicum]  (enstaka)
  - gråsparv  [Passer domesticus]  (enstaka)
  - koltrast  [Turdus merula]  (enstaka)
  - gransångare  [Phylloscopus collybita]  (enstaka)
  - kanadagås  [Branta canadensis]  (enstaka)
  - stenknäck  [Coccothraustes coccothraustes]  (enstaka)
  - gråhäger  [Ardea cinerea]  (enstaka)
  - hämpling  [Linaria cannabina]  (enstaka)
  - turkduva  [Streptopelia decaocto]  (enstaka)
  - stare  [Sturnus vulgaris]  (enstaka)
  - talgoxe  [Parus major]  (enstaka)
  - kråka  [Corvus cornix]  (enstaka)
  - steglits  [Carduelis carduelis]  (enstaka)
  - grå flugsnappare  [Muscicapa striata]  (enstaka)
  - skata  [Pica pica]  (enstaka)
  - forsärla  [Motacilla cinerea]  (enstaka)
  - gräsand  [Anas platyrhynchos]  (enstaka)
  - rörhöna  [Gallinula chloropus]  (enstaka)
  - taltrast  [Turdus philomelos]  (enstaka)
  - gulsparv  [Emberiza citrinella]  (enstaka)
  - gråtrut  [Larus argentatus]  (enstaka)
  - gulärla  [Motacilla flava]  (enstaka)
  - pilfink  [Passer montanus]  (enstaka)
  - skogssnäppa  [Tringa ochropus]  (enstaka)
  - dvärgmås  [Hydrocoloeus minutus]  (enstaka)
