Hämtat 2026-09-21 – fönster: senaste dygnet (24 timmar)
Station: Ö24 Simrishamn 
Artrikedom: 34

Arter i datan (namn + aktivitet):
  - råka  [Corvus frugilegus]  (ofta hord)
  - kaja  [Corvus monedula]  (hordes en del)
  - grågås  [Anser anser]  (hordes en del)
  - sädesärla  [Motacilla alba]  (enstaka)
  - grönsiska  [Spinus spinus]  (enstaka)
  - blåmes  [Cyanistes caeruleus]  (enstaka)
  - rödhake  [Erithacus rubecula]  (enstaka)
  - gransångare  [Phylloscopus collybita]  (enstaka)
  - ringduva  [Columba palumbus]  (enstaka)
  - bofink  [Fringilla coelebs]  (enstaka)
  - bergfink  [Fringilla montifringilla]  (enstaka)
  - trädpiplärka  [Anthus trivialis]  (enstaka)
  - gluttsnäppa  [Tringa nebularia]  (enstaka)
  - gråsparv  [Passer domesticus]  (enstaka)
  - ängspiplärka  [Anthus pratensis]  (enstaka)
  - gråtrut  [Larus argentatus]  (enstaka)
  - skogssnäppa  [Tringa ochropus]  (enstaka)
  - större strandpipare  [Charadrius hiaticula]  (enstaka)
  - taltrast  [Turdus philomelos]  (enstaka)
  - gråhäger  [Ardea cinerea]  (enstaka)
  - turkduva  [Streptopelia decaocto]  (enstaka)
  - gräsand  [Anas platyrhynchos]  (enstaka)
  - skrattmås  [Chroicocephalus ridibundus]  (enstaka)
  - kustpipare  [Pluvialis squatarola]  (enstaka)
  - kricka  [Anas crecca]  (enstaka)
  - hämpling  [Linaria cannabina]  (enstaka)
  - kråka  [Corvus cornix]  (enstaka)
  - järnsparv  [Prunella modularis]  (enstaka)
  - kungsfågel  [Regulus regulus]  (enstaka)
  - skata  [Pica pica]  (enstaka)
  - lövsångare  [Phylloscopus trochilus]  (enstaka)
  - entita  [Poecile palustris]  (enstaka)
  - sothöna  [Fulica atra]  (enstaka)
  - prutgås  [Branta bernicla]  (enstaka)
