Hämtat 2026-09-26 – fönster: senaste dygnet (24 timmar)
Station: Ö24 Simrishamn
Artrikedom: 39

Arter i datan (namn + aktivitet):
  - råka  [Corvus frugilegus]  (ofta hord)
  - kaja  [Corvus monedula]  (hordes en del)
  - gransångare  [Phylloscopus collybita]  (hordes en del)
  - sädesärla  [Motacilla alba]  (enstaka)
  - rödhake  [Erithacus rubecula]  (enstaka)
  - grågås  [Anser anser]  (enstaka)
  - kungsfågel  [Regulus regulus]  (enstaka)
  - gräsand  [Anas platyrhynchos]  (enstaka)
  - blåmes  [Cyanistes caeruleus]  (enstaka)
  - grönsiska  [Spinus spinus]  (enstaka)
  - vitkindad gås  [Branta leucopsis]  (enstaka)
  - bofink  [Fringilla coelebs]  (enstaka)
  - ängspiplärka  [Anthus pratensis]  (enstaka)
  - kråka  [Corvus cornix]  (enstaka)
  - gråsparv  [Passer domesticus]  (enstaka)
  - taltrast  [Turdus philomelos]  (enstaka)
  - rörhöna  [Gallinula chloropus]  (enstaka)
  - gråtrut  [Larus argentatus]  (enstaka)
  - gärdsmyg  [Troglodytes troglodytes]  (enstaka)
  - talgoxe  [Parus major]  (enstaka)
  - steglits  [Carduelis carduelis]  (enstaka)
  - knölsvan  [Cygnus olor]  (enstaka)
  - ladusvala  [Hirundo rustica]  (enstaka)
  - hämpling  [Linaria cannabina]  (enstaka)
  - skata  [Pica pica]  (enstaka)
  - stenknäck  [Coccothraustes coccothraustes]  (enstaka)
  - gråhäger  [Ardea cinerea]  (enstaka)
  - kanadagås  [Branta canadensis]  (enstaka)
  - storspov  [Numenius arquata]  (enstaka)
  - kustpipare  [Pluvialis squatarola]  (enstaka)
  - svart rödstjärt  [Phoenicurus ochruros]  (enstaka)
  - ormvråk  [Buteo buteo]  (enstaka)
  - korp  [Corvus corax]  (enstaka)
  - bläsgås  [Anser albifrons]  (enstaka)
  - rödstjärt  [Phoenicurus phoenicurus]  (enstaka)
  - rödvingetrast  [Turdus iliacus]  (enstaka)
  - sävsparv  [Emberiza schoeniclus]  (enstaka)
  - skogssnäppa  [Tringa ochropus]  (enstaka)
  - gluttsnäppa  [Tringa nebularia]  (enstaka)
